Latitude,Longitude,SkillRequired,StartTimeWindow,EndTimeWindow,StartDateWindow,EndDateWindow,Price
40.433305,-86.775802,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,200
40.270017,-87.073724,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,225
40.529388,-86.92746,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.345605,-86.902164,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.421321,-87.029689,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.529388,-86.927467,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,100
40.269129,-86.903155,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,125
40.267767,-86.719202,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,150
40.60036,-86.777752,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.561366,-86.770501,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.402302,-86.829407,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.599538,-86.777757,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,175
40.439872,-86.961485,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,200
40.416233,-86.799253,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,225
40.561742,-86.770845,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.599288,-86.777759,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.561863,-86.770891,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.598827,-86.777697,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,100
40.598771,-86.777686,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,125
40.59875,-86.777633,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,150
40.616013,-86.756218,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.41344,-86.809071,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.435787,-86.957901,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.419757,-86.809315,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,175
40.41938,-86.803371,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,200
40.419632,-86.804593,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,225
40.352675,-86.910523,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.562105,-86.769156,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.388663,-86.702711,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.616344,-86.75535,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.264944,-86.884821,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.562691,-87.127644,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.616397,-86.755192,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.616272,-86.755608,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.616287,-86.755554,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.561885,-86.770877,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.435857,-86.957859,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.263989,-86.719227,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.616516,-86.754832,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.41772,-86.701413,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.344823,-86.703598,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.493576,-87.117405,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.446735,-86.700496,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.34485,-86.701438,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.446713,-86.699305,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.461822,-86.841921,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.422668,-86.802952,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.419505,-86.790387,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.261828,-86.904216,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
40.562747,-87.120797,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,225
40.489603,-86.69937,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.302525,-86.698326,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.352845,-86.906101,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.439858,-86.961311,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,100
40.41451,-86.799973,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.464502,-86.900413,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.592621,-86.84841,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.592521,-86.848424,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.592253,-86.848403,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.59222,-86.848419,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,175
40.591919,-86.848414,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,200
40.591919,-86.848398,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,225
40.418414,-86.781137,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.418436,-87.029285,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.418501,-86.808171,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.447487,-86.95404,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,100
40.349054,-86.906388,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,125
40.438699,-86.96314,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,150
40.415874,-86.852075,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.588276,-86.851639,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.401039,-87.036161,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.562692,-86.752119,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,175
40.590509,-86.832893,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,200
40.590456,-86.840575,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,225
40.4007,-86.833026,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.590332,-86.832875,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.400678,-86.833041,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.590324,-86.869051,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,100
40.590458,-86.831047,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,125
40.590322,-86.831041,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,150
40.617806,-86.751686,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.589953,-86.832889,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.590407,-86.839014,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.590001,-86.840579,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,175
40.590405,-86.839012,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,200
40.589777,-86.832887,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,225
40.590118,-86.831057,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.589806,-86.840596,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.589032,-86.852055,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.387782,-86.927142,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.58963,-86.837379,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.589617,-86.832812,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.439859,-86.961224,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.418876,-86.99909,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.462267,-86.895524,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.58857,-86.835819,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.589611,-86.840581,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.589858,-86.831057,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.618059,-86.751424,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.58857,-86.835118,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.589345,-86.832512,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.589094,-86.837413,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.589351,-86.840599,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.588612,-86.834892,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.58915,-86.832209,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.588823,-86.837391,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.588277,-86.869064,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.400539,-86.832157,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.588478,-86.837383,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
40.587501,-86.869049,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,225
40.589548,-86.849959,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.618433,-86.751036,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.346785,-86.902673,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.588369,-86.851631,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,100
40.435857,-86.820597,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.254216,-86.794841,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.40045,-86.832172,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.56348,-86.655685,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.589242,-86.849955,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.40045,-86.832156,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,175
40.587509,-86.844214,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,200
40.588688,-86.83583,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,225
40.400414,-86.833033,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.400414,-86.833033,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.400245,-86.830693,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.587218,-86.844219,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,100
40.461813,-86.842019,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,125
40.254719,-86.903785,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,150
40.40036,-86.832171,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.345052,-86.92456,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.345615,-86.902168,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.439877,-86.96105,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,175
40.586603,-86.849881,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,200
40.252423,-86.900314,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,225
40.587344,-86.842449,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.415827,-86.852057,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.415827,-86.852057,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.490359,-86.904263,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,100
40.419451,-86.803372,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,125
40.419541,-86.77556,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,150
40.352752,-86.910575,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.250477,-86.91096,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.250634,-86.809244,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.583788,-86.779102,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,175
40.582663,-86.843585,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,200
40.508369,-86.841676,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,225
40.599412,-86.746214,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.433267,-86.96491,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.599521,-86.746121,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.582473,-86.841376,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.417951,-86.965683,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.421138,-86.807434,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.414524,-86.800364,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.352677,-86.910497,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.582341,-86.841333,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.599903,-86.745644,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.461814,-86.84211,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.34679,-86.902614,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.421131,-86.80751,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.433666,-86.96594,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.582277,-87.030195,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.433366,-86.964211,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.602619,-86.744553,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.603166,-86.744651,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.419608,-86.790297,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.466241,-86.898039,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.523148,-86.806709,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.433867,-86.96412,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.345608,-86.901953,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
40.417508,-86.964728,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,225
40.249245,-86.904185,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.460312,-86.897643,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.346828,-86.902587,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.421138,-86.80736,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,100
40.419191,-86.799261,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.418072,-86.811823,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.418072,-86.811807,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.434705,-86.77584,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.557377,-86.694522,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.435942,-86.826084,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,175
40.402885,-86.765856,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,200
40.588667,-86.850911,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,225
40.434752,-86.775857,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.407436,-86.952477,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.418911,-86.811284,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.404938,-86.897572,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,100
40.418888,-86.811578,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,125
40.435978,-86.826073,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,150
40.526157,-86.930419,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.421122,-86.80736,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.229694,-86.882898,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.418878,-86.812786,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,175
40.418862,-86.81389,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,200
40.434739,-86.75685,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,225
40.418878,-86.813092,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.434323,-86.96426,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.434323,-86.96426,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.583224,-86.846007,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,100
40.418878,-86.813398,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,125
40.434761,-86.756834,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,150
40.419207,-86.814096,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.436172,-86.826019,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.402599,-86.765866,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.577332,-86.830837,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,175
40.557377,-86.694522,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,200
40.56396,-86.752574,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,225
40.436604,-86.823284,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.564343,-86.7559,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.419615,-86.813941,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.402528,-86.765865,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.564571,-86.757735,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.436357,-86.825964,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.400436,-86.83849,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.399357,-86.882963,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.419746,-86.813866,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.606658,-86.761053,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.576023,-86.830818,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.420014,-86.813746,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.419542,-86.813952,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.563903,-86.753529,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.41976,-86.813846,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.563935,-86.75428,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.420413,-86.813552,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.588664,-86.851024,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.436542,-86.825962,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.563935,-86.754924,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.348905,-86.906628,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.352814,-86.910617,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.462338,-86.895616,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
40.420197,-86.813633,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,225
40.565076,-86.755128,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.239116,-86.742838,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.420416,-86.813527,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.421003,-86.813243,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,100
40.615159,-86.755054,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.420634,-86.81342,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.323719,-85.86599,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.565076,-86.754366,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.421288,-86.812828,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.565076,-86.753465,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,175
40.387771,-86.928793,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,200
40.420853,-86.813314,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,225
40.4213,-86.812843,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.400492,-86.756324,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.565052,-86.752542,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.344698,-86.665951,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,100
40.418008,-86.852147,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,125
40.490386,-86.904211,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,150
40.346849,-86.902545,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.421665,-86.81234,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.605838,-86.75949,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.421746,-86.812243,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,175
40.421839,-86.811999,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,200
40.434944,-86.953271,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,225
40.421846,-86.811712,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.438567,-86.962921,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.436617,-86.958019,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.466618,-86.897184,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,100
40.421965,-86.810761,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,125
40.421879,-86.810761,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,150
40.234467,-86.71476,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.605081,-86.757503,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.582946,-86.845419,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.421235,-86.810758,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,175
40.420675,-86.810754,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,200
40.472134,-86.105354,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,225
40.348915,-86.906616,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.418105,-86.852131,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.420395,-86.810753,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.419842,-86.810751,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.604986,-86.756469,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.419298,-86.810751,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.604951,-86.756012,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.418885,-86.810747,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.418885,-86.810763,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.565164,-86.780767,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.418823,-86.810745,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.56931,-86.767053,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.418699,-86.810743,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.418699,-86.810759,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.418606,-86.81074,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.465225,-86.900704,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.419493,-86.77556,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.563352,-86.766972,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.435348,-86.965638,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.562352,-86.924958,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.79417423,-86.76078737,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.448372,-86.953544,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.440121,-86.823906,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
